Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3,Suggested Diagnosis 4,Suggested Diagnosis 5
Activated PI3K-Delta Syndrome,Combined Immunodeficiency with Hypereosinophilia,Benign Monoclonal Hypergammaglobulinaemia,Combined Immunodeficiency due to CRAC Channel Dysfunction,Activated PI3K-Delta Syndrome,CID due to STIM1 Deficiency
Leukocytoclastic Vasculitis,Maladie Trisymptome,Angiitides Hypersensitivity,Cutaneous Allergic Vasculitides,Vasculitis Cutaneous Allergic,Cutaneous Vasculitis Allergic
Malignant Neoplasm of the Splenic Flexure,Malignant Tumor of the Splenic Flexure Colon,Carney Complex-Trismus-Pseudocamptodactyly Syndrome,Abruption Placental,Malignant Splenic Flexure Colon Tumour,Malignant Neoplasm of the Splenic Flexure
Monoclonal Gammopathy of Undetermined Significance,ACTH Hypersecretion Pituitary,Monoclonal Gammopathy Benign,Portosystemic Encephalopathies,Benign Monoclonal Gammapathies,Gammopathy Monoclonal Uncertain Significance
Hidrotic Ectodermal Dysplasia,Dysplasias Hydrotic Ectodermal,Ectodermal Dysplasia Hydrotic,Nonsteroidal Anti Inflammatory Drugs (nsaids),Pharyngo-cervico-brachial variant of GBS,Pulmonary Venous Return Anomalous Total
Scimitar Syndrome,Total Anomalous Pulmonary Venous Drainage,Scimitar Syndrome,Reiter's Syndrome,Acute Failure Hepatic,Ornithine Carbomoyltransferase Deficiency
Pulmonary Valve Insufficiency,Pulmonary Valve Insufficiency,Pulmonic Valve Regurgitation,Valve Regurgitation Pulmonary,Regurgitation Pulmonary,Pulmonary Insufficiency (pi)
Dissociative Identity Disorder,Split Personality,Agents Cancer Chemotherapy,NBCCS,Papulovesicular Acrolocated Syndrome,Unspecified Renal Colic
Periapical Abscess,Suppurative Apical Periodontitis,Alveolar Abscess Apical,Cytosolic Methyl Group Transfer or Sulfur Amino Acid Metabolism Disorder,Dentoalveolar Abscess,Glucocerebrosidase Deficiency 2
Dilatation and Curettage,Dilation and Curettage Action (qualifier Value),D&C,Dilatation & Curettage,Dilation and Curettage of Uterus (procedure),C D
Encephalocele,Cerebral Hernia,Cranial Meningoencephaloceles,Meningoencephaloceles Cranial,Subacute Necrotizing Encephalopathy,Dilatation & Curettage
X-Linked Lymphoproliferative Disorder,Diseases X Linked Lymphoproliferative,X Linked Lymphoproliferative Disease,IMD5,Syndrome X Linked Lymphoproliferative,XLP1
Oral Candidiasis,Yeast Oral,Candida Stomatitis,Oral Moniliasis,Moniliasis of Mouth,Oral Candidiasis
Mood Disorder,Disorders Affective,Affect Disorders,Affective Mood Disorders,Affective Dis,Graves' Disease
Guillain-Barré Syndrome,Acute pure motor Guillain-Barré syndrome,Fisher syndrome,Pharyngo-cervico-brachial variant of Guillain-Barré syndrome,Pharyngo-cervico-brachial variant of GBS,Angiomas Sclerosing
Beckwith-Wiedemann Syndrome,Syndrome Wiedemann,Infantile Subacute Necrotizing Encephalopathy,Beckwith-Wiedemann syndrome,Syndrome Emg,Wiedemann Beckwith Syndromes (wbs)
Leigh's Disease,Encephalopathy Subacute Necrotizing,Leigh Syndrome,Subacute Necrotizing Encephalomyelitides,Leigh Syndrome with Leukodystrophy,LS
Bell's Palsy,Facial Neuropathy Idiopathic Acute,Bell's (facial) Palsy,Acute Idiopathic Facial Neuropathy,Face drooping,Paralysis Bell's Palsy
AIDS Dementia Complex,Dementia Caused by Human Immunodeficiency Virus,Acquired Immune Deficiency Syndrome Dementia Complex,Dementia due to HIV Infection,HIV-Associated Dementia,HIV
Common Cold,Snd Striatonigral Degenerat,Acute Nasopharyngitis,Coryza Acute,Colds Common,Acute Coryza
Diverticulosis,Diverticula Intestinal,Reaction Vasovagal,Diverticular Disease of Intestine,Diverticuli of Intestine,Diverticular Disease
Hepatic Encephalopathy,Liver Phosphorylase Deficiency Syndrome,Functional variant of Guillain-Barré syndrome,"MSA, Parkinsonian Type",Encephalopathy Portosystemic,URI
Sulfamethoxazole-Trimethoprim,Gaucher Disease Infantile Cerebral,Sulfamethoxazole/trimethoprim,Co Trimoxazole (product),Smz Tmp,Sulfamethoxazole and Trimethoprim
Onychocryptosis,Myasthenic Myopathic Syndrome of Lambert Eaton,Dislocation of Shoulder Joint,Ingrowing Toenail,Unguis Aduncus,California Encephalitis Virus Infection Neuroinvasive Disease
Striatonigral Degeneration,Sporadic Infantile Striatonigral Necrosis,Familial Infantile Striatonigral Necrosis,"Multiple System Atrophy, Parkinsonian Type",Familial Infantile Bilateral Striatal Necrosis,Atrophies Striatonigral
Schwartz-Jampel Syndrome,Spondylo Epimetaphyseal Dysplasia with Myotonia,Schwartz Jampel Aberfeld Syndrome,Congenital Myotonic Chondrodystrophy,Aberfeld Syndrome,Myotonic Chondrodystrphy
Statin,3 Hydroxy 3 Methylglutaryl Coenzyme a Reductase Inhibitor,3 Hydroxy 3 Methylglutaryl Coenzyme a (hmg Coa) Reductase Inhibitor,Hydroxymethylglutaryl Coa Reductase Inhibitors,Inhibitors Hydroxymethylglutaryl Coenzyme a,Hmg Coa Reductase Inhibitors
Gorlin Syndrome,Multiple Basal Cell Nevi Odontogenic Keratocysts and Skeletal Anomalies,Syndrome Gorlin Goltz,Nbccs Nevoid Basal Cell Carcinoma Syndrome,Gorlin Goltz Syndrome,Bcns Basal Cell Nevus Syndrome
Acute Liver Failure,Liver Failure Fulminating,Hepatic Failure Fulminating,Fulminant Liver Failure,Failure Acute Hepatic,Hepatic Failures Fulminant
Dermatofibroma,Pleomorphic Fibroma,Sclerosing Angiomas,Tumor Heart,Angioma Sclerosing,Incontinence of Bowel
Aphasia,Logamnesia,Osteochondromuscular Dystrophy,Difficulty Finding Words,Loses Words,Aphasic Syndromes
Pineal Gland Neoplasm,Pineal Tumors,Tumor Pineal Gland,Pineal Gland Neoplasm,Duncan's Syndrome,Neoplasms Pineal
Hereditary Elliptocytosis,Candidosis of Mouth,Erythrocytosis Oval,Congenital Elliptocytosis,Oval Erythrocytosis,Hers Disease (gsd Type Vi)
Intestinal Pseudo-Obstruction,Chronic Idiopathic Intestinal Pseudo Obstruction,Familial Infantile Striatonigral Necrosis,Morbus Basedow,Pseudointestinal Obstruction Syndrome,Idiopathic Intestinal Pseudo Obstructions
Amphetamine,Rac (2R) 1 Phenylpropan 2 Amine,Desoxynorephedrin,IBSN,Heart Neoplasms,Congenital Ovalocytosis
Low Sodium Diet,Maternally-Inherited Leigh Syndrome,Diet Low Salt,Diet Sodium Restricted,Pott Disease,Low Sodium Diet
Malignant Neoplasm of the Areola,Encephalitis Viral St Louis,Myalgic Encephalomyelitis Synd,Malignant Areola Neoplasm,Malignant Neoplasm of Areola of the Breast,Malignant Areola of the Breast Tumor
Diabetes Mellitus Type 1,Fatty Liver Degeneration,Brittle Diabetes Mellitus,Diabetes Mellitus Sudden Onset,Insulin Dependent Diabetic,IDDM1
Familial Infantile Myasthenia,Myasthenic Syndrome Presynaptic Congenital Associated with Episodic Apnea,Familial Infantile Myasthenia,FIM,Hidrotic Ectodermal Dysplasia Syndrome,Congenital Myasthenic Syndrome Type IA2
Disorder of Sulfur-Bearing Amino Acid Metabolism,Cystathionase Deficiency,Classic Homocystinuria,Pituitary Cushing's Disease,Functional Methionine Synthase Deficiency,Functional Methionine Synthase Deficiency Type cblE
Lambert-Eaton Syndrome,Incompetence Pulm Valve,Pseudomyasthenic Syndrome,Lambert-Eaton Myasthenic Syndrome,Eaton Lambert Rooke Syndrome,Syndrome Lambert Eaton Myasthenic
Hallervorden-Spatz Syndrome,Pallidal Atrophy Pigmentary,Neurodegeneration with Brain Iron Accumulation 1,ACTH Producing Pituitary Hyperplasia,Fatty Change Liver,Neuroaxonal Dystrophy Juvenile Onset
Bromocriptine,Acropapulo Vesicular Syndromes,Bromocriptin,Bromocriptine [endocrine Use],Brom Ergocryptine,Bromocryptin
Pancreatic Disease,Diseases of the Pancreas,Disease Pancreatic,Congenital Total Pulmonary Venous Return Anomaly,Diseases Pancreas,Disorders Pancreatic
Gaucher Disease Type 2,Gaucher Type 2,California Encephalitis Virus Disease,Gaucher Disease Type 2,Glucosylceramidase Deficiency Acute Type,Disease Infantile Gaucher
Tyrosinemia Type 1,Deficiencies Fumarylacetoacetase,Deficiency Disease Fumarylacetoacetase,TYRSN1,Fumarylacetoacetase Deficiencies,Deficiency Diseases Fumarylacetoacetase
Citrullinemia,Argininosuccinase Deficiency,Arginosuccinate Synthetase Deficiency,Citrullinemias Classic,Argininosuccinate Synthase Deficiency,Citrullinuria
Spinal Tuberculosis,Tuberculosis of Spine,Disease (or Disorder) Spine or Vertebra Tuberculous (etiology),Tuberculosis of Vertebral Column Unspecified,Tb Spine,Tuberculous Spondylitis
Idiopathic Intracranial Hypertension,Reduced Csf Absorption Syndrome,Nonne's Syndrome,Increased Pressure Intracranial (benign),Syndrome Pseudotumor Cerebri,Bih Benign Intracr Hypertens
Leriche Syndrome,Leriche Syndrome,Chronic Aorto Iliac Occlusion Syndrome,Aortic Bifurcation Embolus,Aorta Saddle Embolus,Syndrome Leriche's
Antineoplastic Agent,Chemotherapy Agents Cancer,Miscellaneous Antineoplastic,Antineoplastic,Drugs Antineoplastic,Cytopathy Kearns-Sayre Mitochondrial
Shoulder Dislocation,Dislocation Shoulder,Potts Dis,Crooked Septum of Nose,Dislocation of Shoulder Joint [glenohumeral Joint],Dislocated Shoulders
Diaper Rash,Dermatitis Napkin,Diaper Rashes,Eczema Napkin,Diseases Graves,Bcns Basal Cell Naevus Syndrome
California Encephalitis,California Encephalitis Virus Infection Neuroinvasive Disease,Encephalitis California Viral,California Encephalitis,Viral Encephalitis California,California Virus Encephalitis
Chronic Fatigue Syndrome,Encephalomyelitis Epidemic Myalgic,Iceland Disease,Attack Heart,Akureyri,Neuromyasthenia Epidemic
Nonsteroidal Antiinflammatory Drug,Antiinflammatory Agents Nonsteroidal,Nonsteroidal Antiinflammatory Drugs,Anti Inflammatory Agents Nonsteroidal,SAO,Antiinflammatory Agents Non Steroidal
Glycogen Storage Disease Type 6,Her Disease,Benign Intracranial Hypertensn,Deficiency Hepatophosphorylase,Gaucher Disease Infantile,Disease Hers
Papilledema,Optic Papilla Edema,Optic Discs Blurred,Disc Edema in Ocular Fundus,Edema of Optic Disc,Diabetes Mellitus Insulin Dependent
Atopic Dermatitis,Allergy Eczema,Besnier's Prurigo,Allergic Dermatitis,Allergic Eczema,Dermatitis Atopic
St. Louis Encephalitis,St Louis Viral Encephalitis,St Louis Viral Disease,Encephalitis C,Sle Saint Louis Encephalitis,St. Louis Encephalitis
Carotid Body Tumor,Carotid Body Chemodectoma,Antineopl Agents,Neoplasm of Carotid Body,Paraganglioma of the Carotid Body,Renal Colic Unspecified (context Dependent Category)
Follicular Thyroid Carcinoma,FTC,Follicular Adenocarcinoma well Differentiated Type,Thyroid Cancer Follicular,Well Differentiated Follicular Carcinoma,Thyroid Follicular Cancer
Arthrogryposis Syndrome,Erythrogenesis Imperfecta,Lethal Congenital Contracture Syndrome Type 2,Distal Arthrogryposis Type 10,Dermatitis Napkin,Heart Tumour
Classical Phenylketonuria,Sev Phenylalan Hydroxyl Defic,Dissociation Av,Phenylalanine Hydroxylase Defic Dis Severe,Disorders Pancreatic,PKU
Constipation,Irregular Bowel Motions,Increased Pressure Intracranial (benign),Constipated,Infrequent Bowel Movements,Constipate
Hematologic Neoplasm,Malignancy Hematological,Vasculitides Cutaneous Leukocytoclastic,Cardiac Tumours,Malignancies Hematologic,Hematological Neoplasm
VIPoma,Vasoactive Intestinal Peptide Secreting Adenoma,Pancreatic Vipoma,Vip Secreting Tumor (vipoma),Placental Abruption Unspecified,Vip Oma Vasoactive Intestinal Peptide Secreting Tumor
AV Block Mobitz II,Type 2 second Degree Av Block,Mobitz Type II Atrioventricular Block,AMI,Incomplete Atrioventricular Block second Degree Mobitz II,Mobitz Type II Incomplete Atrioventricular Block
Graves Disease,Grave's Disease,Basedow Dis,Graves Basedow Disease,Basedow's Disease,Exophthalmic Goitre
