Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3
Activated PI3K-Delta Syndrome,Combined Immunodeficiency with Childhood-Onset Kaposi Sarcoma,Moniliasis Oral,Eczema Allergy
Leukocytoclastic Vasculitis,Leukocytoclastic Vasculitis Cutaneous,Atrophy Striatonigral,Angiitis Allergic Cutaneous
Malignant Neoplasm of the Splenic Flexure,Malignant Neoplasm of Splenic Flexure Colon,3 Hydroxy 3 Methylglutaryl Coenzyme a (hmg Coa) Reductase Inhibitor,Cardiac Neoplasm
Monoclonal Gammopathy of Undetermined Significance,Fibropapilloma Benign,Malignant Areola Tumor,Monoclonal Gammopathy Benign
Hidrotic Ectodermal Dysplasia,Affective Disturbances,Ectodermal Dysplasia Hidrotic,CPEO with Ragged Red Fibers
Scimitar Syndrome,Scimitar Anomaly,Hypogenetic Lung Syndrome,Papillitis Optic Nerve
Pulmonary Valve Insufficiency,Myopathic Myasthenic Syndrome of Eaton Lambert,Follings Dis,Malignant Areola of the Breast Tumor
Dissociative Identity Disorder,Schwartz Jampel Disease,Zeta-Associated-Protein 70 Deficiency,Dissociative Identity Disorder
Periapical Abscess,Abscess Apical Alveolar,Periapical Dental Abscess,Iddm Insulin Dependent Diabetes Mellitus
Dilatation and Curettage,GSD Type VI,Bromocriptine [chemical/ingredient],D & C
Encephalocele,Bifid Craniums,Valve Incompetence Pulm,Encephaloceles
X-Linked Lymphoproliferative Disorder,Renal Colic (& Symptom),Syndromes X Linked Lymphoproliferative,X-Linked Lymphoproliferative Disorder
Oral Candidiasis,Candidiasis Thrush,Liver Failures Fulminant,Thrush
Mood Disorder,California Encephalitis (viral),Disorder Affective,Unspecified Mood Affective Disorder
Guillain-Barré Syndrome,Landry Guillain Barre Syndrome,Acute motor axonal neuropathy,Small Cell Carcinoma of Lung
Beckwith-Wiedemann Syndrome,Paget Anal Margin,Beckwith-Wiedemann Syndrome,Vasculitis Allergic Cutaneous
Leigh's Disease,Hepatorenal Tyrosinemia,Prostate Disorders,MILS
Bell's Palsy,Acute Idiopathic Facial Neuropathy,Sanfilippo Syndrome B,Bell's Palsy
AIDS Dementia Complex,Cms Ea,Post Infectious Arthritis,Vitamin B6 Defic
Common Cold,Infective Nasopharyngitis,Disease Leigh,Rhinitis Infective
Diverticulosis,LEMS,Intestinal Diverticuli,Diverticular Disease Intestine
Hepatic Encephalopathy,Morquio Syndromes,Syncopes Neurogenic,Portosystemic Encephalopathies
Sulfamethoxazole-Trimethoprim,Co Trimoxazole [generic] (product),Drug Chemotherapeutic Anticancer,Southeast Asian Ovalocytosis
Onychocryptosis,Ingrown Toenails,Fingernail Ingrown,Hernia Cerebral
Striatonigral Degeneration,Atrophy Striatonigral,Familial Infantile Bilateral Striatal Necrosis,"MSA, Parkinsonian Type"
Schwartz-Jampel Syndrome,Schwartz-Jampel Syndrome,Intestine Pseudoobstruction,Congenital Myotonic Chondrodystrophy
Statin,Inhib Hmg Coa Reductase,Personality Disorder Multiple,Glomus Caroticum Tumor
Gorlin Syndrome,Insulin Dependent Diabetes Mellitus 1,Multiple Basal Cell Nevi Odontogenic Keratocysts and Skeletal Anomalies,Bcns Basal Cell Nevus Syndrome
Acute Liver Failure,Fulminant Hepatic Failures,Hepatic Failures Fulminating,Acute Hepatic Failure
Dermatofibroma,Type I Hypertyrosinemia,Histiocytoma Cutaneous,Benign Fibrous Cutaneous Histiocytoma
Aphasia,Syndromes Chronic Fatigue Fibromyalgia,Sanfilippo B Disease,Aphemias
Pineal Gland Neoplasm,Korsakoff's Psychosis Alcohol Related,Neoplasm of Pineal Gland,Pineal Neoplasms
Hereditary Elliptocytosis,Dissociative Identify Disorder,Syndrome Fatigue Postviral,Hereditary Hemolytic Elliptocytosis
Intestinal Pseudo-Obstruction,Congenital Short Bowel Syndrome,Leriche's Syndrome,Pseudoobstruction Intestinal
Amphetamine,Beckwith Wiedemann,Α Methylphenethylamine,Pseudo Obstructions Intestinal
