Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3,Suggested Diagnosis 4,Suggested Diagnosis 5,Suggested Diagnosis 6,Suggested Diagnosis 7
Activated PI3K-Delta Syndrome,X Linked Lymphoproliferative Syndromes,Activated PI3K-Delta Syndrome,Primary Immunodeficiency with Multifaceted Aberrant Lymphoid Immunity,Leukemia Myeloid Acute M 05,Disease Moschcowitz,Combined Immunodeficiency due to Ikaros Deficiency,CRASH Syndrome
Leukocytoclastic Vasculitis,Ingrown Fingernail,Paraganglioma of the Carotid Body,Idiopathic Intestinal Pseudo Obstruction,Allergic Cutaneous Vasculitis,Angiitides Allergic Cutaneous,Hypersecretion Pituitary ACTH,Tuberculosis of Spine
Malignant Neoplasm of the Splenic Flexure,Malignant Neoplasm of the Splenic Flexure,Megacolon Congenital,Acute motor-sensory axonal neuropathy,Heart Attack,Prostate Disorders,Sclerosing Hemangioma,Pulmonary Valvular Regurgitation
Monoclonal Gammopathy of Undetermined Significance,Syncope Neurally Mediated,Monoclonal Gammopathy Benign,Mono Gammop Uncert Significanc,Colon Splenic Flexure Cancer,Mgus Monoclonal Gammopathy of Uncertain Significance,Pineal Neopl,Papillitis
Hidrotic Ectodermal Dysplasia,Tumor Vip Secreting (vipoma),Encephalomyelitis Epidemic Myalgic,Vasovagal Attack,Autosomal Dominant Hidrotic Ectodermal Dysplasia,Shoulder Joint Dislocation,Lethal Congenital Contracture Syndrome Type 1,Tumor of the Carotid Body
Scimitar Syndrome,Epibronchial Right Pulmonary Vein Syndrome,Attack Hearts,Dermatitis Napkin,Papilloedema,Disorder: Acute Monocytic Leukemia Fab M5,Diseases Fumarylacetoacetase Deficiency,AIDS Dementia
Pulmonary Valve Insufficiency,Wernicke's Superior Hemorrhagic Polioencephalitis,Valve Insufficiency Pulmonary,Valve Insufficiency Pulm,Southeast Asian Ovalocytosis,Blood Tumor,Regurgitation Pulm,Alveolar Abscess
Dissociative Identity Disorder,Multiple Identity Disorder,Multiple Personality,2 Bromo Α Ergocryptine,Dl Amphetamine,Paget Carcinoma of the Anal Margin,Identity Disorder Dissociative,Dissociative Identity Disorder
Periapical Abscess,Congenital Hypoplastic Anaemia Type Diamond-Blackfan,Dentoalveolar Abscess Apical,Cancer of Areola of the Breast,Bell's (facial) Palsy,Allergic Vasculitis Cutaneous,Malignancy Hematol,Neuropathies Traumatic Vagus
Dilatation and Curettage,Fingernail Ingrown,Decreased Sodium Diet (regime/therapy),Dilatation & Curettage (uterus),Grave's Disease,Dilatation of Cervix and Curettage of Uterus,1 Phenylpropan 2 Amine,Dilation & Curettage of Uterus [d&c]
Encephalocele,Pineal Parenchymal Tumors,Meningoencephalocele Cranial,California Viral Enceph,Combined Immunodeficiency due to CRAC Channel Dysfunction,Idiopathic facial palsy,Pseudo Obstruction Intestine,Cerebral Hernia
X-Linked Lymphoproliferative Disorder,Cytopathy Kearns-Sayre Mitochondrial,Non Steroidal Anti Inflammatory Agent (product),Hypertyrosinemias Type I,Ureter Colic,Monoclonal Gammopathy of Undetermined Significance (morphologic Abnormality),Tuberculosis Spinal,Leukemia Acute Monocytic
Oral Candidiasis,Cutaneous Fibroepithelial Polyp,Familial Fatal Epstein Barr Infection,Finger Ingrown Nail,Agents Antineoplastics,Acute Hepatic Failure,Oral Thrush,Oral Moniliasis
Mood Disorder,Hepatitic Steatosis,Sclerosing Hemangioma,Benign Intracranial Hypertensn,Ingrown Finger Nail,Mood Disorder,Intestinal Pseudoobstructions,Bromocriptine [endocrine]
Guillain-Barré Syndrome,HIV Dementia,Congen Megacolon,Dento Alveolar Abscess,Pseudomyasthenia,Acute sensory ataxic GBS,Bifid Cranium,Valve Regurgitation Pulmonary
Beckwith-Wiedemann Syndrome,Hydrops Meningeal,Deficiencies B6 Vitamin,Acute Failure Hepatic,78 Antineoplastic Agents,Wernicke,Hepatic Glycog Phosphoryl Def,Syndrome Beckwith Wiedemann
Leigh's Disease,Dissociations Atrioventricular,Leigh Syndrome with Leukodystrophy,Facial Palsy,Trauma Vagus Nerve,Malignant Neoplasm of the Areola of Breast,Diverticula of the Intestine,Disease Leigh
Bell's Palsy,Infantile Gaucher Dis,Common Hereditary Elliptocytosis,Ingrown Toenails,Mitochondrial Ocular Myopathy,Inflammatory Facial Neuropathy Acute,Prostatic Disease or Syndrome,Diverticular Disorder of Intestine
AIDS Dementia Complex,Acute inflammatory demyelinating polyradiculoneuropathy,Angioma Sclerosing,GSD due to Liver Glycogen Phosphorylase Deficiency,Diverticuli Intestinal,Disease of Prostate,Purpura Thrombopenic Thrombotic,Regurgitation Pulm
Common Cold,Juvenile Onset of Diabetes,Paget Disease of the Anal Margin,Macrocolon,Morquios Disease,CID with Expansion of Gamma Delta T Cells,Deflection Septum,Injury Cranial Nerve X
Diverticulosis,Cerebral Hernia,Intestinal Diverticuli,Angiitis Leukocytoclastic,Fifth Phacomatosis,Multiple Diverticula,Diverticuli Intestinal,Diverticulosis of Bowel
Hepatic Encephalopathy,Hematological Malignancy,Cephaloceles,1 Phenyl 2 Aminopropane,SAO,Pregnancy Separation Placental Premature,Non Steroidal Anti Inflammatory Product,2 Bromoergokryptine
Sulfamethoxazole-Trimethoprim,Edema of Optic Disc,Subependymal Nodular Heterotopia,Trimethoprim Sulphamethoxazole,Diaper [napkin] Dermatitis,Sulfamethoxazole-Trimethoprim,Hepatic Lipidosis,Wernicke Superior Hemorrhagic Polioencephalitis
Onychocryptosis,Curettage and Dilatation,Ureteral Colic,Syndrome Eaton Lambert,MIES,Attack Vasovagal,Syndrome Purtilo,Syndrome Leriche
Striatonigral Degeneration,Craniocele,Hematologic Malignancy,Pituitary-Dependent Hyperadrenocorticism,Fab M5,Encephalopathies Portosystemic,Diseases Graves,Jacquet Dermatitis
Schwartz-Jampel Syndrome,Prostate,OTC Deficiency,BWS,Gorlins's Syndrome,Attack Vasovagal,Diabetes Mellitus Sudden Onset,Schwartz-Jampel syndrome
Statin,GD2,Dysplasias Hidrotic Ectodermal,Pancreatic Dis,Nevoid Bcc Syndrome,Statins Hmg Coa,AIDS-Related Dementia Complex,Combined Deficiency of Sulfite Oxidase Xanthine Dehydrogenase and Aldehyde Oxidase Type A
Gorlin Syndrome,Irritant Napkin Dermatitis,Disease Leigh,Bowel Incontinent,Malignant Neoplasm of Colon Splenic Flexure,Postinfective Arthritis,Phenylketonuric Embryopathy,Distal arthrogryposis type 2A
Acute Liver Failure,Tyrosinemia Type I,Fulminant Hepatic Failures,Fibroepithelial Polyps,Liver Failure Fulminant,CblF Defect,MHAC,Dislocation of Shoulder Joint [glenohumeral Joint]
Dermatofibroma,Benign Fibrous Histiocytoma of Skin,Idiopath Acute Facial Nrve Pal,Infantile Papular Acroderm,Sclerosing Angioma (morphologic Abnormality),Thrombocytopenic Purpura Thrombotic,Distal Arthrogryposis,Trimezole
Aphasia,Papulovesicular Acrolocated Syndrome,Aphemias,Defic Dis Ornithine Transcarbamylase,Lymphoproliferative Syndromes X Linked,Follicular Cancer of the Thyroid,Dermatitis Napkin,Placental Abruption Unspecified
Pineal Gland Neoplasm,Disorder of Prostate Unspecified,Dislocation of Shoulder,Syncope Vasovagal,Hepatic Lipidosis,Familial Osteochondrodystrophy,Kearns Sayre Syndrome,Congenital short Bowel Syndrome
Hereditary Elliptocytosis,Pulmonic Valve Regurgitation,Ovalocytoses Hereditary,Incontinence Fecal,Exophthalmos Goiter (etiology),HIV Dementia,Optic Disc Swollen,Wernicke Dis
Intestinal Pseudo-Obstruction,Duncan Disease,Vitamin B6 Deficiency Syndrome,Colic Renal Symptom,Cobalamin C Defect,Napkin Eruption,Hepatocerebral Enceph,Encephalitis Saint Louis
Amphetamine,Saint Louis Encephalitis,Adderall Oral Tablet,D 1 Alpha Methylphenethylamine,Joint Prosthesis,Pineal Neoplasms,1 Phenylpropan 2 Amin,Glycogen Storage Disease Type VI
Low Sodium Diet,Low Sodium Diet,Malignant Neoplasm of Areola of Breast,Antineoplastic,Anomaly Scimitar,Decrease in Sodium Content of the Diet Compared to the Assessed Baseline Intake of Sodium for the Individual,Splenic Flexure Neoplasm Malignant,Distal arthrogryposis type 2A
Malignant Neoplasm of the Areola,Ingrown Fingernail,Moschcowitz Disease,Loses Words,Malignant Neoplasm of the Areola,Hypertyrosinemia Type I,Deficiencies ASS,Cancer of Areola
Diabetes Mellitus Type 1,Neoplasm Hematological,Pseudo Obstruction Intestinal,Oat Cell Cancer,Ccd Childhood Celiac Dis,Tuberculosis of Spine (pott's),SLE,Viral Enceph California
Familial Infantile Myasthenia,FIMG2 Formerly,Alogia,Splenic Flexure Tumor Malignant,Benign Monoclonal Hypergammaglobulinaemia,Tumour Carotid Body,Otc Deficiencies,Myasthenic Myopathic Syndrome of Lambert Eaton
